f_infidelity,p_channel,herd_acc,best_single,mean_single,herd_ci_lo,herd_ci_hi,best_ci_lo,best_ci_hi,ci_win
0.0,0.0,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0
0.0,0.05,0.81600,0.73750,0.72217,0.79902,0.83298,0.71822,0.75678,1
0.0,0.1,0.63400,0.60250,0.58617,0.61289,0.65511,0.58105,0.62395,0
0.0,0.15,0.55100,0.54600,0.53283,0.52920,0.57280,0.52418,0.56782,0
0.0,0.2,0.51650,0.52300,0.50717,0.49460,0.53840,0.50111,0.54489,0
0.0,0.25,0.50750,0.50800,0.49850,0.48559,0.52941,0.48609,0.52991,0
0.0,0.3,0.51450,0.52600,0.50783,0.49260,0.53640,0.50412,0.54788,0
0.0,0.35,0.50150,0.51450,0.50483,0.47959,0.52341,0.49260,0.53640,0
0.0,0.4,0.51550,0.51950,0.51617,0.49360,0.53740,0.49760,0.54140,0
0.0,0.45,0.52800,0.51750,0.51467,0.50612,0.54988,0.49560,0.53940,0
0.0,0.5,0.49550,0.50750,0.49933,0.47359,0.51741,0.48559,0.52941,0
0.02,0.0,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0
0.02,0.05,0.81200,0.73050,0.72183,0.79488,0.82912,0.71105,0.74995,1
0.02,0.1,0.54500,0.57750,0.52633,0.52318,0.56682,0.55585,0.59915,0
0.02,0.15,0.54950,0.54450,0.52933,0.52769,0.57131,0.52267,0.56633,0
0.02,0.2,0.50400,0.52100,0.50867,0.48209,0.52591,0.49911,0.54289,0
0.02,0.25,0.49650,0.52250,0.50033,0.47459,0.51841,0.50061,0.54439,0
0.02,0.3,0.50200,0.51450,0.49950,0.48009,0.52391,0.49260,0.53640,0
0.02,0.35,0.50400,0.50300,0.49650,0.48209,0.52591,0.48109,0.52491,0
0.02,0.4,0.47350,0.49650,0.48717,0.45162,0.49538,0.47459,0.51841,0
0.02,0.45,0.50300,0.51700,0.50050,0.48109,0.52491,0.49510,0.53890,0
0.02,0.5,0.48600,0.49900,0.49050,0.46410,0.50790,0.47709,0.52091,0
0.05,0.0,1.00000,1.00000,0.83417,1.00000,1.00000,1.00000,1.00000,0
0.05,0.05,0.60500,0.70150,0.56783,0.58358,0.62642,0.68144,0.72156,0
0.05,0.1,0.54800,0.57350,0.53017,0.52619,0.56981,0.55182,0.59518,0
0.05,0.15,0.52500,0.53250,0.51650,0.50311,0.54689,0.51063,0.55437,0
0.05,0.2,0.51850,0.51950,0.50450,0.49660,0.54040,0.49760,0.54140,0
0.05,0.25,0.51150,0.51750,0.51350,0.48959,0.53341,0.49560,0.53940,0
0.05,0.3,0.50300,0.51150,0.50017,0.48109,0.52491,0.48959,0.53341,0
0.05,0.35,0.49050,0.50700,0.49367,0.46859,0.51241,0.48509,0.52891,0
0.05,0.4,0.49700,0.50750,0.49667,0.47509,0.51891,0.48559,0.52941,0
0.05,0.45,0.49750,0.50700,0.50150,0.47559,0.51941,0.48509,0.52891,0
0.05,0.5,0.49600,0.50450,0.49650,0.47409,0.51791,0.48259,0.52641,0
0.1,0.0,0.50500,0.51400,0.49967,0.48309,0.52691,0.49210,0.53590,0
0.1,0.05,0.60900,0.71400,0.56650,0.58761,0.63039,0.69420,0.73380,0
0.1,0.1,0.54250,0.59000,0.52633,0.52067,0.56433,0.56844,0.61156,0
0.1,0.15,0.51100,0.52800,0.50800,0.48909,0.53291,0.50612,0.54988,0
0.1,0.2,0.48950,0.49850,0.49583,0.46759,0.51141,0.47659,0.52041,0
0.1,0.25,0.48550,0.48800,0.48667,0.46360,0.50740,0.46609,0.50991,0
0.1,0.3,0.49900,0.51600,0.50367,0.47709,0.52091,0.49410,0.53790,0
0.1,0.35,0.51500,0.52850,0.50500,0.49310,0.53690,0.50662,0.55038,0
0.1,0.4,0.52650,0.53100,0.50967,0.50462,0.54838,0.50913,0.55287,0
0.1,0.45,0.50050,0.51300,0.49950,0.47859,0.52241,0.49109,0.53491,0
0.1,0.5,0.50900,0.50650,0.50450,0.48709,0.53091,0.48459,0.52841,0
0.2,0.0,0.49650,0.49300,0.49150,0.47459,0.51841,0.47109,0.51491,0
0.2,0.05,0.49150,0.50400,0.49367,0.46959,0.51341,0.48209,0.52591,0
0.2,0.1,0.51050,0.51750,0.50950,0.48859,0.53241,0.49560,0.53940,0
0.2,0.15,0.51200,0.53050,0.51583,0.49009,0.53391,0.50863,0.55237,0
0.2,0.2,0.51800,0.51200,0.50783,0.49610,0.53990,0.49009,0.53391,0
0.2,0.25,0.48950,0.50050,0.49233,0.46759,0.51141,0.47859,0.52241,0
0.2,0.3,0.50650,0.50950,0.50533,0.48459,0.52841,0.48759,0.53141,0
0.2,0.35,0.49900,0.51600,0.50450,0.47709,0.52091,0.49410,0.53790,0
0.2,0.4,0.50800,0.51450,0.50683,0.48609,0.52991,0.49260,0.53640,0
0.2,0.45,0.50500,0.51250,0.49633,0.48309,0.52691,0.49059,0.53441,0
0.2,0.5,0.52250,0.52050,0.51083,0.50061,0.54439,0.49860,0.54240,0
